業別,團  體  名  稱,理事長,會址或通訊處,電    話
"社會服
務團體",嘉義縣大圳尾關懷協會,黃存吉,嘉義縣水上鄉大堀村江竹仔腳19-2號,2688706
"社會服
務團體",嘉義縣臺灣文藝發展協會,謝連誠,嘉義縣民雄鄉秀林村溪底寮57號,0919195653 0989865839
"社會服
務團體",嘉義縣四街祖媽慈幼慈善會,葉孟龍,嘉義縣新港鄉菜公村菜公厝67號附2,3745892 0939085053
慈善社會服務,嘉義縣勞動萬歲協會,葉孟龍,嘉義縣新港鄉菜公村菜公厝67附2號,3745892 0911942668
慈善社會服務,嘉義縣健康促進暨照顧協會,黃啟宗,嘉義縣水上鄉水頭村中興路183號,0920169066 0931128918
老人團體,社團法人嘉義縣長壽會,陳文敬,嘉義縣民雄鄉東榮村4鄰中庄130號,2268060  0919169378
老人團體,中華民國老人福利協進會嘉義縣分會,葉林娥,嘉義縣太保市南新里中山路1段68號,2373350(葉)   2381147 0972271586 0939747303
老人團體,嘉義縣竹崎鄉老人會,王水田,嘉義縣竹崎鄉竹崎村中正路96號,2611709會  0933682933  2613500
老人團體,社團法人嘉義縣梅山鄉老人會,詹周治,嘉義縣梅山鄉梅南村梅仔山9號,2622060  2623199 0911657499
老人團體,嘉義縣朴子市老人會,蔡勝雄,聯絡地:嘉義縣朴子市開元路22號,3705865   3792831 0933628718
老人團體,嘉義縣新港鄉老人會,陳美華,嘉義縣新港鄉公園路28之1號,3742498 0928676716
老人團體,嘉義縣公教退休人員協會,施純娓,嘉義縣政府2F,3620123轉456   2263669 3795437  0919190648
老人團體,嘉義縣退休警察人員協會,張東良,嘉義縣太保市祥和一路東段3號,3621276   F:3621272 0932811604
老人團體,嘉義縣竹崎鄉長青福利會,邱金龍,嘉義縣竹崎鄉內埔村12鄰崁腳9之1號,2542302 0988705309
老人團體,嘉義縣大林鎮老人會,黃玉桂,嘉義縣大林鎮平林里新興街116號,2653033 0916002966  2651327
老人團體,嘉義縣番路鄉長壽會,陳吉雄,嘉義縣番路鄉下坑村菜公店101號,2590767 0933359708
老人團體,嘉義縣鹿草鄉老人會,汪劉壁瑕,嘉義縣鹿草鄉西井村68-3號,"3755012
0921293311"
老人團體,嘉義縣義竹鄉長壽會,翁明添,嘉義縣義竹鄉仁里村333-1號,3412355 3412789 0937301851
老人團體,嘉義縣水上鄉老人會,陳阿燦,聯絡：嘉義縣水上鄉水上村華林街52號,2681093  2681093  2600432 0933376887 2687679
老人團體,嘉義縣布袋鎮老人會,洪榮富,嘉義縣布袋鎮新民里新塭439號,53436447 0912673677
老人團體,嘉義縣布袋鎮長青會,蕭吳月湲,嘉義縣布袋鎮岑海里新北一街122號,3476799  3472763 0921206595
老人團體,嘉義縣六腳鄉老人會,黃配,嘉義縣六腳鄉港美村20之3號,3805757   3804369   
老人團體,嘉義縣布袋鎮長壽會,陳俊宏,嘉義縣布袋鎮中安里頂厝11之2號,3454199  3742514  0919604605 0988812666
老人團體,社團法人嘉義縣中埔鄉老人會,柯康淑姬,嘉義縣中埔鄉同仁村同仁路1之10號,2530351  0934008686  0922799177
老人團體,嘉義縣民雄鄉長青會,周漳炎,民雄鄉頂崙村25-1號（頂崙村活動中心）,2264119  266400
老人團體,嘉義縣溪口鄉長青會,孫兵,嘉義縣溪口鄉溪口村7鄰中山路91號,郭:2691136 0934055879
老人團體,嘉義縣老人教育協會,黃德舜,"
嘉義縣民雄鄉文隆村56-1號",05-2263669施
老人團體,嘉義縣大埔鄉長青協會,葉柏英,嘉義縣大埔鄉大埔村162-1號2樓,2521362 0955315057  2521310-23
老人團體,嘉義縣六腳鄉長青會,侯楊柔,嘉義縣六腳鄉灣南村1-3號,3804928 0937307928
老人團體,嘉義縣老人會總會,陳宏材,聯絡：嘉義縣鹿草鄉鹿草村55-8號,05-2264119 2266400
老人團體,嘉義縣東石鄉老人會,蔡海欽,嘉義縣東石鄉猿樹村151之10號,3730815      3731962  3731773
老人團體,嘉義縣太保市祥和長青會,楊朝安,會址變更：嘉義縣太保市新埤里167號之2 ,0937307629  3612387   
老人團體,嘉義縣新港鄉長青協會,陳金鐘,聯絡:嘉義縣新港鄉中正路115巷22號,3741221 0938427190
老人團體,嘉義縣消防退休人員協會,何允福,嘉義縣太保市祥和二路東段6號,3620233-522  0921306723  0988587535
老人團體,嘉義縣新港鄉崙子長青協會,王有智,嘉義縣新港鄉北崙村11鄰72號,05-3760987
老人團體,嘉義縣新港鄉南崙長青協會,王和男,聯絡：嘉義縣新港鄉南崙村122號,0918433399
老人團體,嘉義縣新港鄉新中長青協會,陳進雄,嘉義縣新港鄉共和村後庄33-1號,3743248 0921781085
老人團體,嘉義縣新港古民長青會,林坤村,嘉義縣新港鄉古民村71號之3,0919093000 0938323855
婦女團體,嘉義縣婦女會,張月霞,嘉義縣朴子市祥和二路西段2號,3620283-201 0928099288
婦女團體,嘉義縣朴子市婦女會,黃淑櫻,嘉義縣朴子市平和路11之1號,3792135  3799789
婦女團體,嘉義縣大林鎮婦女會,吳思蓉,嘉義縣大林鎮中興路2段241號,2650880 2654780  2652041
婦女團體,嘉義縣布袋鎮婦女會,蘇邱麗月,嘉義縣布袋鎮興中里自由路9號,3472051 3478638 0916627605 3472057
婦女團體,嘉義縣民雄鄉婦女會,游邱月勤,嘉義縣民雄鄉西安村民溪路76號,05-2262003
婦女團體,嘉義縣溪口鄉婦女會,洪雪玲,嘉義縣溪口鄉中正路179號,05-  2691059
婦女團體,嘉義縣新港鄉婦女會,黃邱灑容,聯絡地址：嘉義縣新港鄉宮前村登雲路41號,3742018 3749890
婦女團體,嘉義縣六腳鄉婦女會,李秋燕,聯絡處：嘉義縣六腳鄉蒜南村414-23號,3804500 362661
婦女團體,嘉義縣東石鄉婦女會,顏素枝,嘉義縣東石鄉東石村3號之1,3732244  3730306
婦女團體,嘉義縣義竹鄉婦女會,黃翁美珍,嘉義縣義竹鄉仁里村318-2號,05-3412031
婦女團體,嘉義縣鹿草鄉婦女會,吳淑琴,嘉義縣鹿草鄉鹿草村57之1號,3752034   F:3752094  0972329392
婦女團體,嘉義縣太保市婦女會,蔡林枝麗,嘉義縣太保市太保里53之1號,3711034 0918037467
婦女團體,嘉義縣水上鄉婦女會,陳阿燦,嘉義縣水上鄉水上村中正路155巷5號,2684333 2683716   
婦女團體,嘉義縣中埔鄉婦女會,張林秀嬌,連絡地址：嘉義縣中埔鄉和美村忠義路57號,2531007   2533000
婦女團體,嘉義縣番路鄉婦女會,張楊快,嘉義縣中埔鄉中埔村128-1號,2531007
婦女團體,嘉義縣竹崎鄉婦女會,?美雲,嘉義縣竹崎鄉竹崎村中山路47號,2611015   F:2851735
婦女團體,嘉義縣梅山鄉婦女會,蕭彩雲,嘉義縣梅山鄉華山路22號,05-2626501//0921211133
婦女團體,嘉義縣阿里山鄉婦女會,莊秋嬌,嘉義縣阿里山鄉達邦村5鄰121號,2511266
婦女團體,嘉義縣大埔鄉婦女會,王秀鳳,嘉義縣大埔鄉大埔村53號,2521052   F:2521006
婦女團體,嘉義縣工商婦女協會,劉秀雲,地址：嘉義市東區博東路11號,2767890   2681395   3620283*401 2754161
婦女團體,社團法人嘉義縣姊妹連線婦女權利協進會,張花冠,嘉義縣竹崎鄉灣橋村朴子埔185號,F:2793957  2793931   2793932 0963115128
婦女團體,嘉義縣新知婦女協進會,廖素惠,嘉義縣朴子市平和路7號,05-2761657
婦女團體,嘉義縣大林姊妹連線婦女權利協進會,李秀美,嘉義縣大林鎮中正路322號,2654229   2653211-108
婦女團體,嘉義縣新港姊妹連線婦女權利協進會,林秀琴,嘉義縣新港鄉大潭村105號,3740666  3740217 3760635
婦女團體,嘉義縣陽光姊妹健康促進協會,張花冠,會:嘉義縣竹崎鄉灣橋村朴子埔185號,2793931   2791100 0963115128
婦女團體,嘉義縣朴子姊妹連線協進會,黃嫈珺,會:嘉義縣朴子市竹圍里四維路2段261巷3弄2號,3793460 0953530131
婦女團體,嘉義縣新移民女性關懷協會,吳思蓉,會址嘉義縣朴子市祥和一路西段2號,3620283-201
婦女團體,嘉義縣社區婦女成長協進會,翁麗貞,嘉義縣新港鄉大興村大安街6號,0912129169
婦女團體,嘉義縣民雄姊妹連線協進會,?芳蘭,嘉義縣民雄鄉東榮村文化路24-1號1樓,2260502 0972328718
身心障礙,社團法人嘉義縣殘障自強協會,蔡金木,嘉義縣東石鄉永屯村39-6號,3755070  3755068   3734590
身心障礙,社團法人嘉義縣盲人福利協進會,許旺枝,嘉義縣民雄鄉福興村牛稠溪104號,2205623
身心障礙,社團法人嘉義縣聽語多重障礙福利協進會,蕭瑞德,會址嘉義縣六腳鄉古林村104號,3716989 3703222  
身心障礙,社團法人嘉義縣智障者家長協會,李元豐,嘉義縣民雄鄉東榮村文化路42之2號1樓,2062165   F:2062140
身心障礙,社團法人嘉義縣精神康扶之友協會,鄭春良,嘉義縣竹崎鄉灣橋村18鄰263號  ,2790533    F:2792080
身心障礙,社團法人嘉義縣聲暉聽障協會,陳有義,嘉義縣民雄鄉大崎村正大路3段2118號,05-2204079   F:2688300
身心障礙,社團法人嘉義縣脊髓損傷者協會,張榮富,嘉義縣番路鄉下坑村下坑8-1號,2593271     F: 2593027
身心障礙,嘉義縣炬光協會,劉建佑,嘉義縣大林鎮大美里170號,2954987  2951195
身心障礙,社團法人嘉義縣肢體殘障福利協進會,陳好秋,嘉義縣大林鎮平林里新興街138號,2659211 2659215 0934005966
身心障礙,社團法人嘉義縣身心障礙者聯合會,陳居清,嘉義縣梅山鄉梅北村中山路748號,協會- 2626422  2626222
身心障礙,嘉義縣巴斯奈諾關懷弱勢協會,羅信富,嘉義縣竹崎鄉灣橋村朴子埔186號,民雄2063400//竹崎..2791100 3621088
身心障礙,社團法人嘉義縣身心障礙服務協會,陳金成,嘉義縣竹崎鄉和平村田寮29-3號,05-2617493  052617368 2262675
身心障礙,社團法人嘉義縣身心障礙友愛協會,鍾啟煌,嘉義縣竹崎鄉鹿滿村鹿鳴路11號 ,05-2616453
身心障礙,嘉義縣殘障福利推動協會,陳美汝,嘉義縣六腳鄉蒜頭村74號之75,2694464 0952475906
國際團體,國際獅子會中華民國總會台灣省嘉義縣第一分會,葉文用,嘉義縣朴子市第一市場4樓415號  ,3798289 0932890166
國際團體,嘉義縣阿里山國際獅子會,黃炳鈞,嘉義市八德路281號,2395571 2327110
國際團體,國際獅子會中華民國總會台灣省嘉義縣第三分會(六美),黃正男,嘉義縣六腳鄉雙涵村18-22號,3802574
國際團體,嘉義縣嘉泰國際獅子會,陳彥良,連絡地址：嘉義市蘭井街334-1號7樓之3,05-23844585 F:05-2384469  m1996.m1996@msa.hinet.net  2331996
國際團體,國際青年商會中華民國總會台灣省嘉義縣朴子國際青年商會,翁振聲,嘉義縣朴子市新興路122巷14號1樓,3797373
國際團體,嘉義縣民雄國際青年商會,王福盈,嘉義縣民雄鄉東榮村中庄16-13號2樓,05-2132089
國際團體,國際青年商會中華民國總會台灣省嘉義縣第三分會,張麗棠,嘉義縣大林鎮新興街138號   (2653828),05-2659140 
國際團體,國際扶輪社中華民國總會台灣省嘉義縣第一分會,詹益源,嘉義縣朴子市中正路141號,3620733  3660177 
國際團體,嘉義縣國際同濟會,王品泫,嘉義市永福三街23號1樓,會:2855843  2854155
國際團體,嘉義縣民雄扶輪社,阮永川,嘉義縣民雄鄉民雄工業區成功街5街9-1號,2267908   F:2209435
國際團體,嘉義縣民雄國際同濟會,李芳傑,嘉義縣民雄鄉豐收村大學路2段3504號,2265736   2261286
國際團體,嘉義縣新港國際獅子會,謝佳宏,嘉義縣新港鄉新港鄉福德路50號,3746330  FAX- 3745029   
國際團體,嘉義縣朴子國際同濟會,蔡英傑,嘉義縣東石鄉港墘村60-18號,3705702  F:3708668
國際團體,嘉義縣華中國際獅子會,蔡素桂,嘉義縣水上鄉中和路109號,2247358
國際團體,嘉義縣新港國際青年商會,林世德,嘉義縣新港鄉公園路28之1號4樓,3741111
國際團體,嘉義縣北回扶輪社,廖士勛,聯絡變更：嘉義市世賢路一段670號,2341130   F:2341121 05-2200386
國際團體,嘉義縣大林扶輪社,游茂忠,會:嘉義縣大林鎮新興街138號   (2653828),2650422
宗親會,嘉義縣蘇周連姓宗親會,周三郎,嘉義縣朴子市開元路385號,3792539 3792991
宗親會,嘉義縣黃姓宗親會,?國明,嘉義縣朴子市市東路1之16號,3792456 3798343 0933599613
宗親會,嘉義縣許姓宗親會,許晉昌,嘉義縣水上鄉柳新村615號,2789627  F:2780952  2683598 602557 0921220237
宗親會,嘉義縣烈山五姓(呂盧高許紀)宗親會,呂貴賢,嘉義市文昌街130號,2284100
宗親會,(社團法人)嘉義縣李姓宗親會,李麗裕,嘉義縣新港鄉宮前村中山路72巷10－6號,3744127 0936803339
宗親會,嘉義縣蕭姓宗親會,蕭澄洲,嘉義縣布袋鎮新厝里231-6號,0919862285
宗親會,嘉義縣施姓宗親會,施建榮,鹿草鄉施家村41號,3751227 3751585
宗親會,嘉義縣賴羅傅姓宗親會,賴振亮,嘉義縣水上鄉粗溪村嘉朴路12號,2682186  F:2685310 0937356462
宗親會,嘉義縣林姓宗親會,林銘賢,嘉義縣朴子市德家里吳竹子腳120號,3741779   3748328 0933361799
宗親會,社團法人嘉義縣簡姓宗親會,簡慶財,嘉義縣大林鎮內林里1鄰61號,2788785 0910874387 2210705
宗親會,嘉義縣江姓宗親會,江澤祥,嘉義縣大林鎮平林里育才街36號,  0915582788  2650136 3742393 
宗親會,嘉義縣吳姓宗親會,吳明能,嘉義縣大林鎮明和里甘蔗崙88-1號,2655679 2652178 0933278250
宗親會,嘉義縣陳姓宗親會,陳保復,梅山鄉梅南村中山路111號3樓,2627667    2627408 2623717
宗親會,嘉義縣鄒族安武洋鄭氏宗親會,杜美鈴,嘉義縣阿里山鄉達邦村107號  ,2586867   2253369    2252098
宗親會,嘉義縣侯氏宗親會,侯順嚴,嘉義縣朴子市大鄉里179之16號,932710684
宗親會,嘉義縣劉侯氏宗親會,侯海蠣,嘉義縣朴子市大鄉里336號,0933859828
宗親會,嘉義縣詹姓宗親會,詹周治,嘉義縣梅山鄉新興路226號,2620465  2624495 0937658120
宗親會,嘉義縣中溝侯氏宗親會,侯明魚,嘉義縣六腳鄉正義村中溝7號,0934344157 0928929329
宗親會,嘉義縣戴姓宗親會,戴睿廷,嘉義縣太保市新埤里214-2號,3611987 0953259150
宗親會,嘉義縣蔡姓宗親會,蔡國賢,嘉義縣布袋鎮好美里414號,3431345 0909224139
教師會,嘉義縣大林國民小學教師會,簡志明,嘉義縣大林鎮中正路423號,2652061
教師會,嘉義縣國立中正大學教師會,盧龍泉,嘉義縣水上鄉忠和村13鄰8號,2720411轉35105   2428238  0975695620
教師會,嘉義縣民雄國民小學教師會,陳信亨,嘉義縣民雄鄉民族路43號,2262022
教師會,嘉義縣新港鄉新港國民小學教師會,王思梅,嘉義縣新港鄉福德村登雲路105號,3742039轉12   F:3744040 2949098-45 0975695620 
教師會,嘉義縣東榮國民小學教師會,游雅婷,嘉義縣民雄鄉頂崙村105號,2262076  2268170
教師會,嘉義縣南新國民小學教師會,彭柑綾,嘉義縣太保市南新國小,2373005
教師會,嘉義縣三和國民小學教師會,林妍君,嘉義縣大林鎮三和國小,2952145
教師會,嘉義縣梅山國民小學教師會,謝素梅,嘉義縣梅山鄉梅東村中山路28-1號,2621004
教師會,嘉義縣太保國民中學教師會,林豐傑,嘉義縣太保市太保里36號,3711029-23
教師會,嘉義縣東石國中教師會,洪文堅,嘉義縣朴子市山通路6號,3792027
教師會,嘉義縣立民雄國民中學教師會,張湘怡,嘉義縣民雄鄉西安路147號,"2262527*203 2262527*191 2262527
"
教師會,嘉義縣立竹崎高級中學教師會,鄭貴中,嘉義縣竹崎鄉竹崎村文化路23號,2611006轉121
教師會,嘉義縣國立東石高級中學教師會,張世宗,嘉義縣朴子市大鄉里253號,3794180轉46
教師會,嘉義縣民雄鄉興中國民小學教師會,魏裕福,嘉義縣民雄鄉興中村30號,0937-247989
教師會,嘉義縣水上鄉水上國民中學教師會,陳瑩輝,嘉義縣水上鄉水上村進學街45號,2682024
教師會,嘉義縣水上鄉水上國民小學教師會,范釗嘉,嘉義縣水上鄉水上村正義路182號,2682123
教師會,嘉義縣教師會,劉建宏,嘉義市中興路49號2樓之5,0925001761     0981539330   
教師會,嘉義縣國立民雄高級農工職業學校教師會,吳輝男,嘉義縣民雄鄉文隆村81號,2267120轉261  F:2267850
教師會,嘉義縣民雄鄉福樂國民小學教師會,吳豪哲,嘉義縣民雄鄉福樂村光明二街191號,       2206112  0928836283
教師會,嘉義縣國立新港藝術高級中學教師會,蘇淵源,嘉義縣新港鄉菜公村嘉北公路23-6號,0935083988
教師會,嘉義縣縣立新港國民中學教師會,張瑞滿,嘉義縣新港鄉福德路106號,05-3742024轉31
同學校友會,嘉義縣立水上國民中學校友會,黃舜男,嘉義縣水上鄉水上村進學街45號,2682024*13
同學校友會,嘉義縣淡江大學校友會,陳清連,嘉義縣六腳鄉魚寮村67號,2652608 0911723125  0972750813   3780151
同學校友會,嘉義縣國立嘉義大學校友會,張明達,嘉義縣番路鄉下坑村菜公店36之4號,2592926   3796201 3623863
同學校友會,(社團法人)嘉義縣中央軍事院校校友會,李惠仁,嘉義縣朴子市市西路12號,3792245
同學校友會,嘉義縣國立台南師範學院校友會,林塘和,嘉義縣布袋鎮中安里頂厝1號,3451010
同學校友會,嘉義縣國立東石高級中學校友會,周至雲,嘉義縣朴子市大鄉里253號(東石國中),3702853  0928391121  3794180-305
同學校友會,嘉義縣國立台灣大學校友會,鄭國順,嘉義縣番路鄉江西村平煙23號10樓-3,2720411轉1104
同學校友會,嘉義縣立中埔國中校友會,黃清山,嘉義縣中埔鄉中埔村177號,2531002轉211   F:2030498
同學校友會,嘉義縣崇仁醫護管理專科學校校友會　,簡鈺玫,聯絡:嘉義市盧厝里紅毛埤217號,0919137817  2658880*298
同學校友會,嘉義縣鹿草鄉竹園國民小學校友會,林正源,嘉義縣鹿草鄉松竹村69號,05-3650618
同學校友會,嘉義縣縣立梅山國民中學校友會,?世裕,嘉義縣梅山鄉健康街136號,05-2620005
同學校友會,嘉義縣大仁科技大學校友會,蕭博勝,嘉義縣番路鄉下坑村下坑53號,05-2591127     0918285127 0919145210
同學校友會,嘉義縣吳鳳科技大學校友會,吳振明,嘉義縣民雄鄉文隆村建國路二段117號,05-2267125#21916
同學校友會,嘉義縣立竹崎高級中學校友會,莊朝枝,嘉義縣竹崎鄉文化路23號,05-2611006#13
同學校友會,嘉義縣國立民雄高級農工職業學校校友會,葉志忠,聯絡：嘉義縣民雄鄉文隆村81號(民雄農工),0923755389 0961321668 
